Index,Name,Location,Duration (hrs) - avg,Duration (hrs) - std,Preference ,Cost - avg,Cost - std,Fatigue Score,
1,Zion National Park Lodge,"1 Zion Lodge, Springdale, UT 84767",8,0,10,250,50,0,
2,Cliffrose Lodge,"281 Zion Park Blvd, Springdale, UT 84767",8,0,8,350,70,0,
3,Desert Pearl Inn,"707 Zion Park Blvd, Springdale, UT 84767",8,0,9,300,60,0,
4,Zion Mountain Ranch,"9065 West Highway 9, Mt. Carmel, UT 84775",8,0,9,300,60,0,
5,The Lodge at Bryce Canyon,"The Lodge at Bryce Canyon 1 Lodge Way, Highway 63 Bryce, Utah, 84764",8,0,7,250,50,0,
6,Best Western Ruby’s Inn,"26 S Main St, Bryce Canyon City, UT 84764",8,0,6,200,40,0,
7,Bryce Canyon Grand Hotel,"30 N 100 E, Bryce Canyon City, UT 8476",8,0,7,200,40,0,
8,Red Cliffs Lodge,"Milepost 14, Highway 128, Moab, UT 84532",8,0,8,250,50,0,
9,SpringHill Suites Moab,"1865 N Hwy 191, Moab, UT 84532",8,0,9,200,40,0,
10,Sorrel River Ranch,"Mile 17, Highway 128, Moab, UT 84532",8,0,9,1000,200,0,
11,Grand Canyon Lodge (North Rim),"Arizona 67, North Rim, AZ 86052",8,0,8,200,40,0,
12,El Tovar Hotel,"1 El Tovar Rd, Grand Canyon, AZ 86023",8,0,5,350,70,0,
13,Grand Canyon Squire Inn,"74 AZ-64, Tusayan, AZ 86023",8,0,8,200,40,0,
14,The View Hotel,"Indian Rte 42, Oljato-Monument Valley, AZ 84536",8,0,8,250,50,0,
15,Goulding’s Lodge,"1000 Gouldings Trading Post Rd, Monument Valley, UT 84536",8,0,7,180,36,0,
16,Canyons Boutique Hotel,"190 N 300 W, Kanab, UT 84741",8,0,6,130,26,0,
17,Best Friends Roadhouse,"30 N 300 W, Kanab, UT 84741",8,0,9,100,20,0,
18,Parry Lodge,"89 E Center St, Kanab, UT 84741",8,0,7,90,18,0,
19,Lake Powell Resort,"100 Lakeshore Dr, Page, AZ 86040",8,0,8,160,32,0,
20,Hyatt Place Page/Lake Powell,"1126 N Navajo Dr, Page, AZ 86040",8,0,8,150,30,0,
21,Zion National Park Lodge,"1 Zion Lodge, Springdale, UT 84767",2,0,10,250,50,0,
22,Cliffrose Lodge,"281 Zion Park Blvd, Springdale, UT 84767",2,0,8,350,70,0,
23,Desert Pearl Inn,"707 Zion Park Blvd, Springdale, UT 84767",2,0,9,300,60,0,
24,Zion Mountain Ranch,"9065 West Highway 9, Mt. Carmel, UT 84775",2,0,9,300,60,0,
25,The Lodge at Bryce Canyon,"The Lodge at Bryce Canyon 1 Lodge Way, Highway 63 Bryce, Utah, 84764",2,0,7,250,50,0,
26,Best Western Ruby’s Inn,"26 S Main St, Bryce Canyon City, UT 84764",2,0,6,200,40,0,
27,Bryce Canyon Grand Hotel,"30 N 100 E, Bryce Canyon City, UT 8476",2,0,7,200,40,0,
28,Red Cliffs Lodge,"Milepost 14, Highway 128, Moab, UT 84532",2,0,8,250,50,0,
29,SpringHill Suites Moab,"1865 N Hwy 191, Moab, UT 84532",2,0,9,200,40,0,
30,Sorrel River Ranch,"Mile 17, Highway 128, Moab, UT 84532",2,0,9,1000,200,0,
